frame_index,x_centroid,y_centroid,visibility_flag
0,742,382,1
1,1843,122,1
2,1843,122,1
3,743,382,1
4,743,382,1
5,743,382,1
6,743,382,1
7,743,382,1
8,743,383,1
9,743,382,1
10,743,382,1
11,743,382,1
12,1844,122,1
13,1844,122,1
14,1843,122,1
15,1844,122,1
16,1844,122,1
17,1844,122,1
18,1844,122,1
19,1844,122,1
20,1844,122,1
21,1844,122,1
22,1844,122,1
23,1844,122,1
24,1843,122,1
25,1844,122,1
26,1844,122,1
27,1844,122,1
28,1844,122,1
29,1844,122,1
30,1844,122,1
31,1844,122,1
32,1843,122,1
33,1843,122,1
34,1843,122,1
35,1843,122,1
36,1844,122,1
37,1844,122,1
38,1844,122,1
39,1844,122,1
40,1843,122,1
41,1844,122,1
42,1844,122,1
43,1844,122,1
44,1843,122,1
45,1843,122,1
46,1843,122,1
47,1843,122,1
48,1843,122,1
49,1843,122,1
50,1843,122,1
51,1843,122,1
52,1844,122,1
53,1844,122,1
54,1844,122,1
55,1843,122,1
56,1843,122,1
57,1844,122,1
58,1844,122,1
59,1844,122,1
60,1844,122,1
61,1844,122,1
62,1844,122,1
63,1844,122,1
64,1843,122,1
65,1843,122,1
66,1844,122,1
67,1844,122,1
68,1843,122,1
69,1843,122,1
70,1843,122,1
71,1843,122,1
72,1843,122,1
73,1843,122,1
74,1843,122,1
75,1843,122,1
76,1843,122,1
77,1843,122,1
78,1843,122,1
79,1843,122,1
80,1843,122,1
81,1843,122,1
82,1843,122,1
83,1843,122,1
84,1843,123,1
85,1843,123,1
86,1843,123,1
87,1843,123,1
88,1843,123,1
89,1843,123,1
90,1843,123,1
91,1843,123,1
92,1843,123,1
93,1843,123,1
94,1843,123,1
95,1843,123,1
96,1843,122,1
97,1843,123,1
98,1843,123,1
99,1843,123,1
100,1843,123,1
101,1843,122,1
102,1843,122,1
103,1843,123,1
104,1843,122,1
105,1843,123,1
106,1843,123,1
107,1843,123,1
108,1843,123,1
109,1843,123,1
110,1843,123,1
111,1843,123,1
112,1843,123,1
113,1843,123,1
114,1843,123,1
115,1843,123,1
116,1843,123,1
117,1843,123,1
118,1843,123,1
119,1843,123,1
120,1843,122,1
121,1843,122,1
122,1843,122,1
123,1843,122,1
124,1843,122,1
125,1843,122,1
126,1843,122,1
127,1843,122,1
128,1843,123,1
129,1843,122,1
130,1843,122,1
131,1843,123,1
132,1843,123,1
133,1843,123,1
134,1843,123,1
135,1843,123,1
136,1843,123,1
137,1843,123,1
138,1843,123,1
139,1843,123,1
140,1843,123,1
141,1843,122,1
142,1843,122,1
143,1843,122,1
144,1843,122,1
145,1843,122,1
146,1843,122,1
147,1843,122,1
148,1843,122,1
149,1843,122,1
150,1843,122,1
151,1843,122,1
152,1843,122,1
153,1843,122,1
154,1843,122,1
155,1843,122,1
156,1843,123,1
157,1843,123,1
158,1843,123,1
159,1843,123,1
160,1843,123,1
161,1843,123,1
162,1843,123,1
163,1843,123,1
164,1843,123,1
165,1843,123,1
166,1843,122,1
167,1843,123,1
168,1843,123,1
169,1843,122,1
170,1843,122,1
171,1843,123,1
172,1843,122,1
173,1843,122,1
174,1843,123,1
175,1843,122,1
176,1843,122,1
177,1843,122,1
178,1843,122,1
179,1843,122,1
180,1843,123,1
181,1843,123,1
182,1843,123,1
183,1843,123,1
184,1843,122,1
185,1843,122,1
186,1843,122,1
187,1843,122,1
188,1843,122,1
189,1843,122,1
190,1843,122,1
191,1843,122,1
192,1843,123,1
193,1843,123,1
194,1843,123,1
195,1843,123,1
196,1843,123,1
197,1843,123,1
198,1843,123,1
199,1843,123,1
200,1843,123,1
201,1843,122,1
202,1843,122,1
203,1843,122,1
204,1843,122,1
205,1843,123,1
206,1843,123,1
207,1843,122,1
208,1843,122,1
209,1843,122,1
210,1843,122,1
211,1843,122,1
212,1843,122,1
213,1843,122,1
214,1843,122,1
215,1843,122,1
216,1843,122,1
217,1843,122,1
218,1843,122,1
219,1843,122,1
220,1843,122,1
221,1843,122,1
222,1843,122,1
223,1843,122,1
224,1843,122,1
225,1843,122,1
226,1843,122,1
227,1843,122,1
228,1843,122,1
229,1843,122,1
230,1843,122,1
231,1843,122,1
232,1843,122,1
233,1843,122,1
234,1843,122,1
235,1843,122,1
236,1843,122,1
237,1843,123,1
238,1843,123,1
239,1843,123,1
240,1843,123,1
241,1843,123,1
242,1843,123,1
