frame,x,y
4,1059,380
5,1059,380
6,1059,380
7,1059,380
8,1066,353
9,1066,353
10,1073,331
11,1073,331
12,1079,310
13,1079,310
16,1094,284
17,1094,284
18,1094,284
19,1094,284
20,1099,278
21,1099,278
22,1105,276
23,1105,276
24,1113,279
25,1117,285
26,1117,285
27,1122,293
28,1122,293
29,1122,293
30,1122,293
31,1128,307
32,1128,307
33,1132,323
34,1132,323
35,1066,427
36,1066,427
37,1062,427
38,1062,427
39,1060,431
40,1060,431
41,1060,431
42,1059,431
43,1169,487
44,1169,487
47,1086,477
48,1086,477
52,1171,458
53,1171,458
59,888,947
60,1271,310
61,1271,310
62,1105,387
63,1116,502
64,1115,511
65,1114,523
69,1119,555
72,750,912
73,751,912
74,1188,505
75,1185,504
76,1184,503
77,1184,502
78,1184,501
79,1183,500
80,1123,537
81,1123,536
82,1123,535
83,1121,534
91,1115,529
92,1115,529
93,1115,529
96,676,680
97,2011,856
98,2012,856
99,2012,857
100,2012,856
101,2012,856
102,2012,856
103,2012,856
104,1141,466
105,1141,466
106,1126,468
107,1126,468
108,1111,467
109,1111,467
110,1094,462
111,1153,496
112,1153,496
113,1152,496
114,1152,496
115,1152,496
116,1152,496
117,1151,495
118,1151,495
119,1149,494
120,1149,494
121,2012,856
122,2012,856
123,1199,430
124,1199,430
125,1196,426
126,1196,426
127,1196,426
128,1196,426
129,1194,425
130,1194,425
131,455,693
132,1193,421
133,1193,421
134,764,758
135,764,759
136,764,759
137,1194,421
