epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7529,2.80332,98.8027,1.09186,0,0,0,0,2.44582,269.598,0.88821,0.000647059,0.000647059,0.000647059
2,62.7663,2.74351,188.66,1.07415,0,0,0,0,2.85732,nan,0.99382,0.00130289,0.00130289,0.00130289
3,93.0664,3.35182,30.8806,1.18265,0,0,0,0,nan,nan,nan,0.00194772,0.00194772,0.00194772
4,125.329,3.68462,18.1041,1.29838,0,0,0,0,nan,nan,nan,0.0019505,0.0019505,0.0019505
5,160.087,3.30636,9.98427,1.23128,0,0,0,0,nan,nan,nan,0.001934,0.001934,0.001934
6,191.375,3.31639,6.82473,1.15731,0,0,0,0,nan,nan,nan,0.0019175,0.0019175,0.0019175
7,223.179,2.78684,4.99723,1.06644,0,0,0,0,0,0,0,0.001901,0.001901,0.001901
8,253.587,2.96989,4.12291,1.12221,0,0,0,0,0.61641,0.7793,0.17995,0.0018845,0.0018845,0.0018845
9,287.786,2.82006,3.40328,1.07326,0.46395,0.11891,0.18787,0.12408,2.52585,2.51648,0.93458,0.001868,0.001868,0.001868
10,319.209,2.75715,2.90129,1.06967,0.6047,0.33333,0.26388,0.03965,2.91184,7.61625,0.99694,0.0018515,0.0018515,0.0018515
11,348.235,2.66263,3.88262,1.0753,0.76917,0.4,0.45248,0.1141,2.51106,1.82465,0.93239,0.001835,0.001835,0.001835
12,377.825,2.82213,2.80729,1.06615,0.67832,0.56362,0.54428,0.13638,2.53807,1.90829,0.96783,0.0018185,0.0018185,0.0018185
13,407.213,2.79975,2.64382,1.03728,0.62963,0.46667,0.42799,0.14041,2.45337,1.50996,0.93173,0.001802,0.001802,0.001802
14,440.898,2.60691,2.46301,1.00077,0.68661,0.58519,0.52548,0.14329,2.6512,1.47251,0.97485,0.0017855,0.0017855,0.0017855
15,470.884,2.75375,2.32229,1.03087,0.55213,0.66667,0.58586,0.18036,2.46996,1.57949,0.95739,0.001769,0.001769,0.001769
